chapter,verse_count,transcription_runtime,WER,CER,aligned_verses,recovered_verses,unresolved_verses,alignment_coverage,combined_250ms,combined_500ms,combined_1000ms,combined_2000ms,median_start_drift_ms,median_end_drift_ms
GEN_001,31,1354.9802712999517,0.6072041166380789,0.11161971830985916,31,2,0,0.646145180490566,0.06451612903225806,0.22580645161290322,0.3225806451612903,0.8709677419354839,920,480
MAT_005,48,1063.186415300006,0.609547123623011,0.15054010572282234,47,5,1,0.6538102869524635,0.020833333333333332,0.0625,0.3958333333333333,0.7708333333333334,720,660
PSA_023,6,111.75467460008804,0.6511627906976745,0.1810344827586207,6,1,0,0.5998709623709623,0.0,0.0,0.16666666666666666,0.6666666666666666,1310.0,410.0
ROM_008,39,832.3185822999803,0.6012269938650306,0.19128329297820823,37,1,2,0.6526713208349364,0.0,0.05128205128205128,0.28205128205128205,0.717948717948718,1200,720
MACRO_AVG,31.0,840.5599858750065,0.6172852562059488,0.15861939994237761,30.25,2.25,0.75,0.638124437662232,0.021337365591397848,0.08489712572373863,0.2917829818031431,0.7566041149710505,1037.5,567.5
