aligned_output_path,aligned_verses,alignment_algorithm,biblica_cer,biblica_wer,chapter_id,model_id,normalized_token_similarity,raw_output_path,recovered_verses,reference_source,reference_source_version,token_alignment_coverage,transcription_runtime_seconds,unresolved_verses,verse_count,word_order_similarity
evaluation\speech_lab\model_outputs\faster-whisper-small\GEN_001.biblica-aligned-v2-1.json,31,global token sequence alignment with fuzzy substitution scoring plus local neighbor-constrained recovery,0.10431400282885431,0.7622377622377622,GEN_001,faster-whisper-small,0.23776223776223782,evaluation\speech_lab\model_outputs\faster-whisper-small\GEN_001.json,9,biblica_open_kiswahili,rev2-release,0.507342447792467,554.6808663998963,0,31,0.20104895104895104
evaluation\speech_lab\model_outputs\faster-whisper-small\MAT_005.biblica-aligned-v2-1.json,46,global token sequence alignment with fuzzy substitution scoring plus local neighbor-constrained recovery,0.1268674993877051,0.7931488801054019,MAT_005,faster-whisper-small,0.20685111989459815,evaluation\speech_lab\model_outputs\faster-whisper-small\MAT_005.json,14,biblica_open_kiswahili,rev2-release,0.529641661489824,476.7978711000178,2,48,0.1686429512516469
evaluation\speech_lab\model_outputs\faster-whisper-small\PSA_023.biblica-aligned-v2-1.json,6,global token sequence alignment with fuzzy substitution scoring plus local neighbor-constrained recovery,0.17647058823529413,0.8620689655172413,PSA_023,faster-whisper-small,0.21875,evaluation\speech_lab\model_outputs\faster-whisper-small\PSA_023.json,2,biblica_open_kiswahili,rev2-release,0.47969357652861483,53.40344460005872,0,6,0.27586206896551724
evaluation\speech_lab\model_outputs\faster-whisper-small\ROM_008.biblica-aligned-v2.json,37,global token sequence alignment with fuzzy substitution scoring plus local neighbor-constrained recovery,0.15264088956280011,0.7443037974683544,ROM_008,faster-whisper-small,0.2556962025316456,evaluation\speech_lab\model_outputs\faster-whisper-small\ROM_008.json,3,biblica_open_kiswahili,rev2-release,0.5435909723633511,434.2575389998965,2,39,0.18734177215189873
evaluation\speech_lab\model_outputs\faster-whisper-medium\GEN_001.biblica-aligned-v2.json,31,global token sequence alignment with fuzzy substitution scoring plus local neighbor-constrained recovery,0.06930693069306931,0.5856643356643356,GEN_001,faster-whisper-medium,0.43507588532883645,evaluation\speech_lab\model_outputs\faster-whisper-medium\GEN_001.json,1,biblica_open_kiswahili,rev2-release,0.6602120797187557,1354.9802712999517,0,31,0.3181818181818182
evaluation\speech_lab\model_outputs\faster-whisper-medium\MAT_005.biblica-aligned-v2.json,48,global token sequence alignment with fuzzy substitution scoring plus local neighbor-constrained recovery,0.08057800636786676,0.5691699604743083,MAT_005,faster-whisper-medium,0.43529411764705883,evaluation\speech_lab\model_outputs\faster-whisper-medium\MAT_005.json,3,biblica_open_kiswahili,rev2-release,0.7028105263126871,1063.186415300006,0,48,0.3847167325428195
evaluation\speech_lab\model_outputs\faster-whisper-medium\PSA_023.biblica-aligned-v2.json,6,global token sequence alignment with fuzzy substitution scoring plus local neighbor-constrained recovery,0.13445378151260504,0.632183908045977,PSA_023,faster-whisper-medium,0.44999999999999996,evaluation\speech_lab\model_outputs\faster-whisper-medium\PSA_023.json,1,biblica_open_kiswahili,rev2-release,0.633025166081432,111.75467460008804,0,6,0.4482758620689655
evaluation\speech_lab\model_outputs\faster-whisper-medium\ROM_008.biblica-aligned-v2.json,38,global token sequence alignment with fuzzy substitution scoring plus local neighbor-constrained recovery,0.11473338387667424,0.5620253164556962,ROM_008,faster-whisper-medium,0.4720570749108205,evaluation\speech_lab\model_outputs\faster-whisper-medium\ROM_008.json,0,biblica_open_kiswahili,rev2-release,0.6990991741879089,832.3185822999803,1,39,0.35822784810126584
