chapter,verse_count,transcription_runtime,WER,CER,aligned_verses,recovered_verses,unresolved_verses,alignment_coverage,combined_250ms,combined_500ms,combined_1000ms,combined_2000ms,median_start_drift_ms,median_end_drift_ms
GEN_001,31,554.6808663998963,0.7770154373927959,0.1426056338028169,31,10,0,0.49124573911511316,0.03225806451612903,0.0967741935483871,0.4838709677419355,0.9032258064516129,880,260
MAT_005,48,476.7978711000178,0.7882496940024479,0.15260859572512067,46,14,2,0.5131830549264442,0.020833333333333332,0.125,0.3125,0.5833333333333334,510.0,1020.0
PSA_023,6,53.40344460005872,0.8837209302325582,0.21982758620689655,5,2,1,0.4900291375291375,0.0,0.16666666666666666,0.3333333333333333,0.6666666666666666,900,560
ROM_008,39,434.2575389998965,0.7521472392638037,0.22929782082324454,36,4,3,0.5130955515743454,0.02564102564102564,0.1794871794871795,0.3076923076923077,0.5897435897435898,1060.0,580.0
MACRO_AVG,31.0,379.78493027496734,0.8002833252229014,0.18608490913951967,29.5,7.5,1.5,0.50188837078626,0.019683105872622002,0.14198200992555832,0.3593491521918941,0.6857423490488006,837.5,605.0
