chapter,metric,small,medium,absolute_difference,percentage_improvement,winner
GEN_001,WER,0.7770154373927959,0.6072041166380789,-0.16981132075471694,21.854304635761583,medium
GEN_001,CER,0.1426056338028169,0.11161971830985916,-0.030985915492957747,21.728395061728396,medium
GEN_001,token_alignment_coverage,0.49124573911511316,0.646145180490566,0.15489944137545286,31.531966395164073,medium
GEN_001,unresolved_verses,0.0,0.0,0.0,0.0,tie
GEN_001,combined_500ms,0.0967741935483871,0.22580645161290322,0.12903225806451613,133.33333333333331,medium
GEN_001,combined_1000ms,0.4838709677419355,0.3225806451612903,-0.16129032258064518,-33.333333333333336,small
GEN_001,combined_2000ms,0.9032258064516129,0.8709677419354839,-0.032258064516129004,-3.5714285714285685,small
GEN_001,median_start_drift_ms,880.0,920.0,40.0,-4.545454545454546,small
GEN_001,median_end_drift_ms,260.0,480.0,220.0,-84.61538461538461,small
GEN_001,transcription_runtime,554.6808663998963,1354.9802712999517,800.2994049000554,-144.2810548152351,small
MAT_005,WER,0.7882496940024479,0.609547123623011,-0.17870257037943693,22.67080745341615,medium
MAT_005,CER,0.15260859572512067,0.15054010572282234,-0.0020684900022983344,1.3554216867469957,medium
MAT_005,token_alignment_coverage,0.5131830549264442,0.6538102869524635,0.14062723202601923,27.402937543636487,medium
MAT_005,unresolved_verses,2.0,1.0,-1.0,50.0,medium
MAT_005,combined_500ms,0.125,0.0625,-0.0625,-50.0,small
MAT_005,combined_1000ms,0.3125,0.3958333333333333,0.08333333333333331,26.66666666666666,medium
MAT_005,combined_2000ms,0.5833333333333334,0.7708333333333334,0.1875,32.14285714285714,medium
MAT_005,median_start_drift_ms,510.0,720.0,210.0,-41.17647058823529,small
MAT_005,median_end_drift_ms,1020.0,660.0,-360.0,35.294117647058826,medium
MAT_005,transcription_runtime,476.7978711000178,1063.186415300006,586.3885441999882,-122.98472366227944,small
PSA_023,WER,0.8837209302325582,0.6511627906976745,-0.2325581395348837,26.31578947368421,medium
PSA_023,CER,0.21982758620689655,0.1810344827586207,-0.038793103448275856,17.64705882352941,medium
PSA_023,token_alignment_coverage,0.4900291375291375,0.5998709623709623,0.10984182484182475,22.415366032248127,medium
PSA_023,unresolved_verses,1.0,0.0,-1.0,100.0,medium
PSA_023,combined_500ms,0.16666666666666666,0.0,-0.16666666666666666,-100.0,small
PSA_023,combined_1000ms,0.3333333333333333,0.16666666666666666,-0.16666666666666666,-50.0,small
PSA_023,combined_2000ms,0.6666666666666666,0.6666666666666666,0.0,0.0,tie
PSA_023,median_start_drift_ms,900.0,1310.0,410.0,-45.55555555555556,small
PSA_023,median_end_drift_ms,560.0,410.0,-150.0,26.785714285714285,medium
PSA_023,transcription_runtime,53.40344460005872,111.75467460008804,58.35123000002932,-109.26491809100487,small
ROM_008,WER,0.7521472392638037,0.6012269938650306,-0.15092024539877302,20.065252854812403,medium
ROM_008,CER,0.22929782082324454,0.19128329297820823,-0.03801452784503631,16.578669482576554,medium
ROM_008,token_alignment_coverage,0.5130955515743454,0.6526713208349364,0.139575769260591,27.202685510004283,medium
ROM_008,unresolved_verses,3.0,2.0,-1.0,33.33333333333333,medium
ROM_008,combined_500ms,0.1794871794871795,0.05128205128205128,-0.1282051282051282,-71.42857142857142,small
ROM_008,combined_1000ms,0.3076923076923077,0.28205128205128205,-0.02564102564102566,-8.33333333333334,small
ROM_008,combined_2000ms,0.5897435897435898,0.717948717948718,0.1282051282051282,21.739130434782606,medium
ROM_008,median_start_drift_ms,1060.0,1200.0,140.0,-13.20754716981132,small
ROM_008,median_end_drift_ms,580.0,720.0,140.0,-24.137931034482758,small
ROM_008,transcription_runtime,434.2575389998965,832.3185822999803,398.06104330008384,-91.66473982623909,small
MACRO_AVG,WER,0.8002833252229014,0.6172852562059488,-0.1829980690169526,22.866660250103614,medium
MACRO_AVG,CER,0.18608490913951967,0.15861939994237761,-0.027465509197142052,14.7596649960204,medium
MACRO_AVG,token_alignment_coverage,0.50188837078626,0.638124437662232,0.136236066875972,27.144694877576885,medium
MACRO_AVG,unresolved_verses,1.5,0.75,-0.75,50.0,medium
MACRO_AVG,combined_500ms,0.14198200992555832,0.08489712572373863,-0.05708488420181969,-40.20571636628436,small
MACRO_AVG,combined_1000ms,0.3593491521918941,0.2917829818031431,-0.06756617038875101,-18.80237367379967,small
MACRO_AVG,combined_2000ms,0.6857423490488006,0.7566041149710505,0.07086176592224991,10.333584621183583,medium
MACRO_AVG,median_start_drift_ms,837.5,1037.5,200.0,-23.88059701492537,small
MACRO_AVG,median_end_drift_ms,605.0,567.5,-37.5,6.198347107438017,medium
MACRO_AVG,transcription_runtime,379.78493027496734,840.5599858750065,460.7750556000392,-121.32526039578093,small
