book,chapter,status,detected_language,transcript_language,word_count,segment_count,average_word_confidence,verse_confidence,boundary_accuracy,wer,cer,processing_time_seconds,peak_ram_mb,peak_vram_mb,cpu_usage_percent,gpu_utilization_percent,boundary_not_found_events,overlapping_timings,zero_duration_spans,alignment_failures,missing_word_scores,warnings
Genesis,1,completed,sw,sw,480,44,0.8295687500000004,0.18936887096774194,0.25806451612903225,0.8078902229845626,0.2595911509381126,156.90132200007793,347.8847818374634,,36.29993514329453,,23,0,0,0,0,"repeated_phrases:1, extremely_short_spans:17, long_silence_gaps:3, missing_verse_boundaries:23"
Psalm,23,completed,sw,sw,66,11,0.7990757575757574,0.4896838333333333,0.6666666666666666,0.8953488372093024,0.28900709219858156,23.338231400004588,9.172194480895996,,46.72289295665247,,2,0,0,0,0,"long_silence_gaps:2, missing_verse_boundaries:2"
Matthew,5,completed,sw,sw,810,57,0.6752111111111119,0.26901691666666666,0.4166666666666667,0.9498164014687882,0.3245515695067265,174.7499192999676,72.15607738494873,,46.19436146143901,,28,0,3,0,0,"repeated_phrases:3, extremely_short_spans:22, long_silence_gaps:20, missing_verse_boundaries:28"
John,3,completed,sw,sw,644,77,0.7270155279503105,0.27704358333333334,0.4444444444444444,0.9871175523349437,0.3306840077071291,135.30175799992867,57.83474826812744,,46.24212366112271,,20,0,0,0,0,"repeated_phrases:5, extremely_short_spans:2, long_silence_gaps:6, missing_verse_boundaries:20"
Romans,8,completed,sw,sw,863,69,0.6516454229432215,0.06951876923076925,0.1282051282051282,1.0012269938650307,0.38125246159905474,162.2967753999401,69.44268703460693,,46.131009344149696,,34,0,0,0,0,"repeated_phrases:3, extremely_short_spans:11, long_silence_gaps:8, missing_verse_boundaries:34"
