book,chapter,status,wer,cer,normalized_wer,normalized_cer,boundary_accuracy,verse_confidence,average_word_confidence,processing_time_seconds,peak_ram_mb,peak_vram_mb,cpu_usage_percent,gpu_utilization_percent,words_per_second,audio_minutes_per_minute,boundary_not_found_count,timestamp_collapse_count,duplicate_verse_count,missing_verse_count,english_hallucination_count,missing_word_scores,proper_biblical_name_accuracy,repeated_phrase_detection,qa_pass,error
Genesis,1,completed,0.3276157804459691,0.11901428171380565,0.3276157804459691,0.09818819403857393,0.3225806451612903,0.252323064516129,0.8039356521739125,1265.0950731999474,347.6831932067871,,39.799380352216595,,0.4545112949855917,0.251788981514479,21,0,0,0,0,0,1.0,13,False,
Psalm,23,completed,0.3953488372093023,0.20390070921985815,0.3953488372093023,0.1912568306010929,1.0,0.7237728333333333,0.7786382978723406,191.88247339997906,9.172544479370117,,46.86604919228116,,0.4898831995148248,0.30199735793069216,0,0,0,0,0,0,0.0,0,False,
Matthew,5,completed,0.379436964504284,0.13490284005979072,0.379436964504284,0.11708922005031934,1.0,0.7395086458333333,0.7683580562659845,1242.5371016999707,72.15588474273682,,45.555260671940815,,0.6293574646021521,0.3787508633393198,0,0,0,0,0,0,0.6666666666666666,5,False,
John,3,completed,0.37037037037037035,0.14715799614643546,0.37037037037037035,0.13445795088067478,0.4444444444444444,0.3108694166666666,0.7518211920529797,893.4626561000478,57.834200859069824,,45.88778630822711,,0.6760215392061844,0.4216997738267081,20,0,0,0,0,0,0.43333333333333335,2,False,
Romans,8,completed,0.37300613496932516,0.16758566364710517,0.37300613496932516,0.15190129449838188,0.9743589743589743,0.6953996153846155,0.7394282051282058,1191.5117585000116,69.4386854171753,,44.9404463955187,,0.6546305518477956,0.3799945714090035,1,0,0,0,0,0,0.5909090909090909,8,False,
