book,chapter,status,wer,cer,normalized_wer,normalized_cer,boundary_accuracy,verse_confidence,average_word_confidence,processing_time_seconds,peak_ram_mb,peak_vram_mb,cpu_usage_percent,gpu_utilization_percent,words_per_second,audio_minutes_per_minute,boundary_not_found_count,timestamp_collapse_count,duplicate_verse_count,missing_verse_count,english_hallucination_count,missing_word_scores,proper_biblical_name_accuracy,repeated_phrase_detection,qa_pass,error
Genesis,1,completed,0.3293310463121784,0.12237468496219546,0.3293310463121784,0.09760374050263004,0.6451612903225806,0.49482106451612906,0.7789364261168384,1199.9101427999558,417.89902114868164,,45.325985200932834,,0.48503632000469615,0.26541987490566266,11,0,0,0,0,0,1.0,18,False,
Psalm,23,completed,0.3953488372093023,0.20567375886524822,0.3953488372093023,0.18761384335154827,1.0,0.6862136666666667,0.7537204301075268,313.7115536000347,236.76058292388916,,37.37696556898089,,0.29645066919839996,0.1845644488880361,0,0,0,0,0,0,0.0,0,False,
Matthew,5,completed,0.401468788249694,0.19263826606875933,0.401468788249694,0.17514999032320497,0.6041666666666666,0.43276941666666663,0.748893530997305,1730.9378079000162,486.2334499359131,,45.91385263802074,,0.4286693586641329,0.2718410782019152,19,0,0,0,0,0,0.6666666666666666,6,False,
John,3,completed,0.392914653784219,0.1577552986512524,0.392914653784219,0.1371868022823121,0.4444444444444444,0.28741025,0.7223266666666666,1528.4746549999109,406.1161937713623,,44.9407650220435,,0.3925482166402262,0.24642803121915158,20,0,0,0,0,0,0.4666666666666667,4,False,
Romans,8,completed,0.3693251533742331,0.16876723119338322,0.3693251533742331,0.15129449838187703,0.2564102564102564,0.1549204358974359,0.7054571428571426,1690.3796869000653,494.2557764053345,,46.887464279015376,,0.45551896178549034,0.26776173631738553,29,0,0,0,0,0,0.5909090909090909,7,False,
